Accession	Title	Links	Status	Release Date	Created	Updated	Submission	BioSample.name	BioSample.organism_name
SAMN29453412	338_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.136Z	2022-10-25T09:19:17.703Z	SUB11601558	AGL2302	Severe acute respiratory syndrome coronavirus 2
SAMN29453411	338_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.126Z	2022-10-25T09:19:17.680Z	SUB11601558	AGL2285	Severe acute respiratory syndrome coronavirus 2
SAMN29453409	337_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.110Z	2022-10-25T09:19:17.653Z	SUB11601558	AGL2085	Severe acute respiratory syndrome coronavirus 2
SAMN29453406	336_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.080Z	2022-10-25T09:19:17.630Z	SUB11601558	AGL2293	Severe acute respiratory syndrome coronavirus 2
SAMN29453405	336_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.070Z	2022-10-25T09:19:17.610Z	SUB11601558	AGL2267	Severe acute respiratory syndrome coronavirus 2
SAMN29453404	335_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.060Z	2022-10-25T09:19:17.583Z	SUB11601558	AGL2532	Severe acute respiratory syndrome coronavirus 2
SAMN29453403	335_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.050Z	2022-10-25T09:19:17.550Z	SUB11601558	AGL2530	Severe acute respiratory syndrome coronavirus 2
SAMN29453401	334_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.033Z	2022-10-25T09:19:17.146Z	SUB11601558	AGL2573	Severe acute respiratory syndrome coronavirus 2
SAMN29453400	334_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.023Z	2022-10-25T09:19:17.106Z	SUB11601558	AGL2533	Severe acute respiratory syndrome coronavirus 2
SAMN29453399	334_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.013Z	2022-10-25T09:19:17.080Z	SUB11601558	AGL2552	Severe acute respiratory syndrome coronavirus 2
SAMN29453398	333_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.003Z	2022-10-25T09:19:17.053Z	SUB11601558	AGL2600	Severe acute respiratory syndrome coronavirus 2
SAMN29453390	331_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.923Z	2022-10-25T09:19:17.030Z	SUB11601558	AGL2525	Severe acute respiratory syndrome coronavirus 2
SAMN29453387	330_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.896Z	2022-10-25T09:19:17Z	SUB11601558	AGL2416	Severe acute respiratory syndrome coronavirus 2
SAMN29453383	328_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.860Z	2022-10-25T09:19:16.976Z	SUB11601558	AGL2441	Severe acute respiratory syndrome coronavirus 2
SAMN29453379	327_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.826Z	2022-10-25T09:19:16.940Z	SUB11601558	AGL2405	Severe acute respiratory syndrome coronavirus 2
SAMN29453375	326_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.790Z	2022-10-25T09:19:16.916Z	SUB11601558	AGL2400	Severe acute respiratory syndrome coronavirus 2
SAMN29453374	325_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.783Z	2022-10-25T09:19:16.893Z	SUB11601558	AGL2431	Severe acute respiratory syndrome coronavirus 2
SAMN29453369	324_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.736Z	2022-10-25T09:19:16.856Z	SUB11601558	AGL2423	Severe acute respiratory syndrome coronavirus 2
SAMN29453367	323_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.720Z	2022-10-25T09:19:16.833Z	SUB11601558	AGL3099	Severe acute respiratory syndrome coronavirus 2
SAMN29453366	323_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.710Z	2022-10-25T09:19:16.806Z	SUB11601558	AGL3082	Severe acute respiratory syndrome coronavirus 2
SAMN29453364	322_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.693Z	2022-10-25T09:19:16.780Z	SUB11601558	AGL2696	Severe acute respiratory syndrome coronavirus 2
SAMN29453363	322_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.683Z	2022-10-25T09:19:16.753Z	SUB11601558	AGL2776	Severe acute respiratory syndrome coronavirus 2
SAMN29453361	321_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.663Z	2022-10-25T09:19:16.730Z	SUB11601558	AGL2145	Severe acute respiratory syndrome coronavirus 2
